2026-03-23 00:26:43 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:26:46 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:26:49 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:26:52 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:26:55 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:26:58 | CPU:2% | MEM:21% | DISK:6%
2026-03-23 00:27:00 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:27:03 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:27:06 | CPU:4% | MEM:21% | DISK:6%
2026-03-23 00:27:09 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:27:12 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:27:15 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:27:18 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:27:21 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:27:24 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:27:26 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:27:29 | CPU:4% | MEM:21% | DISK:6%
2026-03-23 00:27:32 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:27:35 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:27:38 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:27:41 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:27:44 | CPU:2% | MEM:21% | DISK:6%
2026-03-23 00:27:47 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:27:49 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:27:52 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:27:55 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:27:58 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:28:01 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:28:04 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:28:07 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:28:10 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:28:12 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:28:15 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:28:18 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:28:21 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:28:24 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:28:27 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:28:30 | CPU:0% | MEM:21% | DISK:6%
