time,cpu,mem,disk
2026-03-23 00:30:08,1,21,6
2026-03-23 00:30:11,0,21,6
2026-03-23 00:30:14,0,21,6
2026-03-23 00:30:16,0,21,6
2026-03-23 00:30:19,1,21,6
2026-03-23 00:30:22,1,21,6
2026-03-23 00:30:25,1,21,6
2026-03-23 00:30:28,1,21,6
2026-03-23 00:30:31,0,21,6
2026-03-23 00:30:34,1,21,6
2026-03-23 00:30:37,0,21,6
2026-03-23 00:30:39,0,21,6
2026-03-23 00:30:42,0,21,6
2026-03-23 00:30:45,1,21,6
2026-03-23 00:30:48,1,21,6
2026-03-23 00:30:51,0,21,6
2026-03-23 00:30:54,0,21,6
2026-03-23 00:30:57,0,21,6
2026-03-23 00:31:00,0,21,6
2026-03-23 00:31:02,2,21,6
2026-03-23 00:31:05,0,21,6
2026-03-23 00:31:08,0,21,6
2026-03-23 00:31:11,2,21,6
2026-03-23 00:31:14,2,21,6
2026-03-23 00:31:17,0,21,6
2026-03-23 00:31:20,0,21,6
2026-03-23 00:31:23,1,21,6
2026-03-23 00:31:26,1,21,6
2026-03-23 00:31:28,1,21,6
2026-03-23 00:31:31,1,21,6
2026-03-23 00:31:34,0,21,6
2026-03-23 00:31:37,0,21,6
2026-03-23 00:31:40,1,21,6
2026-03-23 00:31:43,0,21,6
2026-03-23 00:31:46,0,21,6
2026-03-23 00:31:49,0,21,6
2026-03-23 00:31:52,2,21,6
2026-03-23 00:31:54,0,21,6
2026-03-23 00:31:57,0,21,6
2026-03-23 00:32:00,0,21,6
2026-03-23 00:32:03,0,21,6
2026-03-23 00:32:06,0,21,6
2026-03-23 00:32:09,1,21,6
2026-03-23 00:32:12,0,21,6
2026-03-23 00:32:15,1,21,6
2026-03-23 00:32:17,1,21,6
2026-03-23 00:32:20,1,21,6
2026-03-23 00:32:23,0,21,6
2026-03-23 00:32:26,2,21,6
2026-03-23 00:32:29,0,21,6
2026-03-23 00:32:32,0,21,6
2026-03-23 00:32:35,0,21,6
2026-03-23 00:32:38,1,21,6
2026-03-23 00:32:40,0,21,6
2026-03-23 00:32:43,0,21,6
2026-03-23 00:32:46,4,21,6
2026-03-23 00:32:49,0,21,6
2026-03-23 00:32:52,1,21,6
2026-03-23 00:32:55,1,21,6
2026-03-23 00:32:58,1,21,6
2026-03-23 00:33:01,0,21,6
2026-03-23 00:33:04,0,21,6
2026-03-23 00:33:06,0,21,6
2026-03-23 00:33:09,2,21,6
2026-03-23 00:33:12,0,21,6
2026-03-23 00:33:15,0,21,6
2026-03-23 00:33:18,1,21,6
2026-03-23 00:33:21,0,21,6
2026-03-23 00:33:24,0,21,6
2026-03-23 00:33:27,0,21,6
2026-03-23 00:33:29,0,21,6
2026-03-23 00:33:32,0,21,6
2026-03-23 00:33:35,0,21,6
2026-03-23 00:33:38,1,21,6
2026-03-23 00:33:41,1,21,6
2026-03-23 00:33:44,0,21,6
2026-03-23 00:33:47,0,21,6
2026-03-23 00:33:50,0,21,6
2026-03-23 00:33:53,1,21,6
2026-03-23 00:33:55,1,21,6
2026-03-23 00:33:58,0,21,6
